id,title,showTime,source,informationType,jumpUrl,currentQuery,originalQuery,inputQuery,invalid_reasons,process_time
DB201306180003393679_1,消化政策支撑，前多谨慎持有,2013-06-18 16:05:57,,REPORT,,"""李青持有哪些股票？","""李青持有哪些股票？","""李青持有哪些股票？",ID前缀应为AP但实际为: DB,2025-07-23 17:58:01
DB201306190003414303_1,油菜籽类多单持有须谨慎,2013-06-19 13:29:42,,REPORT,,"""李青持有哪些股票？","""李青持有哪些股票？","""李青持有哪些股票？",ID前缀应为AP但实际为: DB,2025-07-23 17:58:01
NC1688510_1,就在今天！美股开始“T+1”,2024-05-28 19:08:35,C-Bond资讯,BOND,,T1和T2在股票指标中的含义,T1和T2在股票指标中的含义,T1和T2在股票指标中的含义,ID前缀应为BOND但实际为: NC16,2025-07-23 18:00:19
NC1688510_2,就在今天！美股开始“T+1”,2024-05-28 19:08:35,C-Bond资讯,BOND,,T1和T2在股票指标中的含义,T1和T2在股票指标中的含义,T1和T2在股票指标中的含义,ID前缀应为BOND但实际为: NC16,2025-07-23 18:00:19
NA910000039283677953_58,重庆三峡燃气（集团）有限公司、T某某等合同纠纷民事一审民事判决书,2023-01-11 00:00:00,中国裁判文书网,BOND,,T1和T2在股票指标中的含义,T1和T2在股票指标中的含义,T1和T2在股票指标中的含义,ID前缀应为BOND但实际为: NA91,2025-07-23 18:00:19
JQCJ294719_1,西太平洋银行(WBC.AX)：已于6月4日发行15亿澳元可赎回T2次级票据,2025-06-04 16:30:27,久期财经,BOND,,T1和T2在股票指标中的含义,T1和T2在股票指标中的含义,T1和T2在股票指标中的含义,ID前缀应为BOND但实际为: JQCJ,2025-07-23 18:00:19
NC1688510_3,就在今天！美股开始“T+1”,2024-05-28 19:08:35,C-Bond资讯,BOND,,T1和T2在股票指标中的含义,T1和T2在股票指标中的含义,T1和T2在股票指标中的含义,ID前缀应为BOND但实际为: NC16,2025-07-23 18:00:19
JQCJ265235_1,汇丰控股(00005.HK)发行17.5亿美元T2次级证券，息票率5.874%,2024-11-13 10:13:06,久期财经,BOND,,T1和T2在股票指标中的含义,T1和T2在股票指标中的含义,T1和T2在股票指标中的含义,ID前缀应为BOND但实际为: JQCJ,2025-07-23 18:00:19
JQCJ242560_1,穆迪：授予东亚银行(00023.HK)拟发行美元T2次级票据“Baa2(hyb)”评级,2024-06-19 11:47:52,久期财经,BOND,,T1和T2在股票指标中的含义,T1和T2在股票指标中的含义,T1和T2在股票指标中的含义,ID前缀应为BOND但实际为: JQCJ,2025-07-23 18:00:19
JQCJ298936_1,瑞银集团(UBS.US)：拟于7月15日全额赎回15亿美元高级票据，并将于8月7日全额赎回15.75亿美元T1资本票据,2025-07-03 16:00:21,久期财经,BOND,,T1股票指标含义,T1和T2在股票指标中的含义,T1和T2在股票指标中的含义,ID前缀应为BOND但实际为: JQCJ,2025-07-23 18:00:19
