question,old_id,new_id,diff_type,timestamp,old_traceid,new_traceid,position,total_diff_count,source_combo
淳厚信睿混合A 基金经理陈文 多维度分析,CR636fd223edf38e4db20502e7cf49a223_2,,only_in_old,2025-07-23 20:30:46,016f5a6f-ced9-47b8-b651-55c088127fe5,,,4,old_1×new_3
淳厚信睿混合A 基金经理陈文 多维度分析,CR5583db5f9e4bdcedf2bc724fc94dae3f_1,,only_in_old,2025-07-23 20:30:46,016f5a6f-ced9-47b8-b651-55c088127fe5,,,4,old_1×new_3
淳厚信睿混合A 基金经理陈文 多维度分析,,CR92f9271ec1958d8d7073508ee4cd9278_1,only_in_new,2025-07-23 20:30:46,,5083ff9f-49f6-484e-a00b-d2c4baf9cb1e,,4,old_1×new_3
淳厚信睿混合A 基金经理陈文 多维度分析,,CR39fed135ac98710c362a7214efd6299a_1,only_in_new,2025-07-23 20:30:46,,5083ff9f-49f6-484e-a00b-d2c4baf9cb1e,,4,old_1×new_3
军工电子板块 财务数据 优质个股,CRe908550c31c76f2b8ed3c5624e5419d7_1,,only_in_old,2025-07-23 20:31:34,a0d0f6a5-7e17-4db1-a0b5-9e295326d6ff,,,4,old_1×new_2
军工电子板块 财务数据 优质个股,AP202507231714017700_2,,only_in_old,2025-07-23 20:31:34,a0d0f6a5-7e17-4db1-a0b5-9e295326d6ff,,,4,old_1×new_2
军工电子板块 财务数据 优质个股,,CR11d0391b46c0e1f34a66116b3577eeca_2,only_in_new,2025-07-23 20:31:34,,d4a03402-f72c-452d-8f5e-4c33bb48ce82,,4,old_1×new_2
军工电子板块 财务数据 优质个股,,AP202505111670957977_2,only_in_new,2025-07-23 20:31:34,,d4a03402-f72c-452d-8f5e-4c33bb48ce82,,4,old_1×new_2
睿创微纳的主要业务领域、技术优势和市场地位是什么,CR66bc96f36e9d1dd317f5b002ed7258f6_2,,only_in_old,2025-07-23 20:38:41,e1325f71-4ea8-4975-9164-935611448eba,,,4,old_1×new_1
睿创微纳的主要业务领域、技术优势和市场地位是什么,CR03e7f27994002d769a81085eba5a0918_2,,only_in_old,2025-07-23 20:38:41,e1325f71-4ea8-4975-9164-935611448eba,,,4,old_1×new_1
